"Daily Weather Observations for Canterbury, New South Wales for March 2024"
"Prepared at 13:00 UTC on Sunday 21 April 2024   IDCJDW2025.202403"
"Copyright 2003 Commonwealth Bureau of Meteorology"
"Observations were drawn from Canterbury Racecourse AWS {station 066194}"

,"Date","Minimum temperature (degC)","Maximum temperature (degC)","Rainfall (mm)","Evaporation (mm)","Sunshine (hours)","Direction of maximum wind gust ","Speed of maximum wind gust (km/h)","Time of maximum wind gust","9am Temperature (degC)","9am relative humidity (%)","9am cloud amount (oktas)","9am wind direction","9am wind speed (km/h)","9am MSL pressure (hPa)","3pm Temperature (degC)","3pm relative humidity (%)","3pm cloud amount (oktas)","3pm wind direction","3pm wind speed (km/h)","3pm MSL pressure (hPa)"
,2024-03-1,21.6,27.9,0,,,SSE,37,23:01,23.5,85,,S,6,,27.4,68,,NE,11,
,2024-03-2,23.2,24.6,0,,,SSE,43,08:42,24.6,80,,SSE,20,,22.1,91,,S,9,
,2024-03-3,16.6,32.8,1.0,,,SSE,37,16:57,21.8,80,,NW,7,,30.8,37,,WNW,11,
,2024-03-4,19.9,22.5,0.2,,,SSE,44,09:23,20.7,59,,SSE,19,,21.6,60,,SSE,22,
,2024-03-5,14.1,25.7,0,,,ENE,39,16:03,20.3,61,,WSW,7,,24.6,46,,NNE,19,
,2024-03-6,15.2,29.5,0,,,ENE,30,13:52,21.6,73,,NW,4,,27.2,57,,ENE,19,
,2024-03-7,17.9,26.9,0,,,SSE,46,11:18,24.3,83,,SSE,17,,26.3,71,,SE,22,
,2024-03-8,20.6,29.3,0,,,ENE,37,16:00,24.8,76,, ,Calm,,28.2,53,,NE,13,
,2024-03-9,16.1,29.2,0,,,NNE,35,12:02,23.3,76,,NW,6,,28.6,45,,NNE,20,
,2024-03-10,16.9,29.3,0,,,ENE,46,15:51,23.0,84,,WNW,6,,28.2,45,,NNE,22,
,2024-03-11,16.9,28.4,,,,ENE,37,13:03,23.4,85,,W,2,,26.9,50,,ENE,22,
,2024-03-12,15.5,34.2,0.2,,,,,,21.4,78,,WNW,7,,33.3,32,,SSW,2,
,2024-03-13,19.3,28.7,,,,E,28,14:19,23.1,80,,WNW,4,,26.7,48,,E,17,
,2024-03-14,18.1,33.0,0,,,SE,50,15:56,23.2,73,,NW,6,,25.5,66,,SE,30,
,2024-03-15,17.4,24.1,4.2,,,SE,44,14:17,22.1,62,,SE,19,,23.0,56,,SE,28,
,2024-03-16,15.2,24.8,1.0,,,SE,35,14:52,19.9,78,,WNW,2,,23.9,55,,E,17,
,2024-03-17,17.4,22.6,35.6,,,SE,28,12:41,18.1,100,,NW,6,,21.2,76,,SE,13,
,2024-03-18,17.1,25.5,1.2,,,ENE,28,18:20,19.1,92,,WSW,6,,24.9,61,,E,11,
,2024-03-19,18.7,28.1,6.2,,,ENE,31,16:10,21.5,100,, ,Calm,,27.3,64,,ENE,17,
,2024-03-20,19.4,25.2,0.2,,,SSE,54,17:44,22.0,91,,W,9,,23.7,76,,SSE,24,
,2024-03-21,12.3,21.5,0.6,,,SSE,56,23:20,16.0,56,,W,11,,20.1,60,,SSE,24,
,2024-03-22,13.1,23.9,0,,,NNE,41,20:46,17.4,76,,WNW,7,,22.8,56,,E,13,
,2024-03-23,12.5,26.0,0.2,,,SE,33,15:08,16.7,97,, ,Calm,,23.6,62,,SE,20,
,2024-03-24,16.7,27.3,0.2,,,ENE,28,14:52,20.0,84,,WNW,6,,25.4,59,,E,15,
,2024-03-25,14.6,31.4,0.2,,,NW,24,11:52,19.5,81,,W,9,,30.2,18,,NNW,7,
,2024-03-26,14.7,27.9,0,,,SE,31,16:36,18.6,78,,W,6,,26.6,57,,SE,17,
,2024-03-27,17.0,24.9,0,,,ESE,35,14:38,21.8,84,,SE,9,,23.6,63,,SE,24,
,2024-03-28,17.3,24.7,0,,,SE,33,12:39,21.5,82,,SSE,15,,24.1,67,,SE,20,
,2024-03-29,15.4,26.0,0,,,E,26,13:29,21.8,87,,SSW,2,,25.2,53,,E,13,
,2024-03-30,13.3,28.8,0,,,E,28,14:50,18.5,91,,NW,6,,27.9,49,,ENE,17,
,2024-03-31,14.2,28.3,0,,,ESE,28,13:50,18.8,100,,N,6,,27.1,53,,NNE,17,
